"Strain" "type" "clade" "env" "genus" "species" "SITE" "PLOT" "TREE" "SPE" "BATCH" "SAMPLE" "TEMP" "DAY" "DAY14" "DATE"
"129" "J_070" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-A" "30" "307" "311" "20-06-18"
"130" "E_021" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-A" "20" "307" "311" "20-06-18"
"131" "NZ_CP043538_1_5350047_5354172_Methylobacterium_mesophilicum_SR1_6_6_chromosome_complete_genome" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "mesophilicum" NA NA NA NA NA NA NA NA NA NA
"132" "NZ_CP016429_1_2689972_2694097_Methylobacterium_sp__XJLW_chromosome_complete_genome" "ref" "A9" "ANTHROPO/WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"133" "NZ_BACT01000245_1_17571_21696_Methylobacterium_sp__B1_whole_genome_shotgun_sequence" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"134" "NZ_CP003811_1_4399362_4403487_Methylobacterium_oryzae_CBMB20_chromosome_complete_genome" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "oryzae" NA NA NA NA NA NA NA NA NA NA
"135" "NZ_JACJIM010000007_1_7836_11961_Methylobacterium_fujisawaense_strain_DSM_5686_Ga0373204_07_whole" "ref" "A9" "UNKNOWN" "Methylobacterium" "fujisawaense" NA NA NA NA NA NA NA NA NA NA
"136" "NZ_JACCCS010000001_1_2152017_2156142_Methylobacterium_sp__YL_MPn6_2016_Ga0395893_01_whole_genome" "ref" "A9" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"137" "NZ_JACCCR010000001_1_1631282_1635407_Methylobacterium_sp__YL_MPn5_2016_Ga0395892_01_whole_genome" "ref" "A9" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"138" "NZ_FOPK01000028_1_61297_65422_Methylobacterium_phyllosphaerae_strain_CBMB27_whole_genome_shotgun" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "phyllosphaerae" NA NA NA NA NA NA NA NA NA NA
"139" "NZ_CP015367_1_3536090_3540215_Methylobacterium_phyllosphaerae_strain_CBMB27_chromosome_complete" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "phyllosphaerae" NA NA NA NA NA NA NA NA NA NA
"140" "NZ_JQJG01000037_1_7799_11924_Methylobacterium_sp__UNCCL110_BR90DRAFT_scaffold00034_34_C_whole_ge" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"141" "NZ_FPBW01000029_1_7952_12077_Methylobacterium_sp__UNCCL125_whole_genome_shotgun_sequence" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"142" "NZ_LMPY01000013_1_81662_85787_Methylobacterium_sp__Leaf361_contig_20_whole_genome_shotgun_sequen" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"143" "NZ_FOZY01000021_1_7160_11285_Methylobacterium_sp__yr668_whole_genome_shotgun_sequence" "ref" "A9" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"144" "NZ_FOCS01000022_1_7115_11240_Methylobacterium_sp__UNC300MFChir4_1_whole_genome_shotgun_sequence" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"145" "NZ_SLXZ01000004_1_151685_155810_Methylobacterium_sp__BK227_Ga0307702_104_whole_genome_shotgun_se" "ref" "A9" "ENDOPHYTE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"146" "NZ_FNVI01000025_1_82255_86380_Methylobacterium_sp__190mf_whole_genome_shotgun_sequence" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"147" "NZ_KB911310_1_7531_11656_Methylobacterium_sp__285MFTsu5_1_H288DRAFT_scaffold00041_41_whole_genom" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"148" "NZ_BADE01000084_1_5535_9660_Methylobacterium_sp__B34_whole_genome_shotgun_sequence" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"149" "NZ_FOMM01000028_1_73089_77214_Methylobacterium_sp__13MFTsu3_1M2_whole_genome_shotgun_sequence" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"150" "NZ_FNWP01000028_1_73017_77142_Methylobacterium_sp__275MFSha3_1_whole_genome_shotgun_sequence" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"151" "NZ_CAJCKR010000029_1_68313_72438_Methylobacterium_radiotolerans_strain_ME94_whole_genome_shotgun" "ref" "A9" "ENDOPHYTE" "Methylobacterium" "radiotolerans" NA NA NA NA NA NA NA NA NA NA
"152" "NZ_QEKZ01000026_1_6481_10606_Methylobacterium_organophilum_strain_DSM_760_Ga0215672_126_whole_ge" "ref" "A9" "WATER" "Methylobacterium" "organophilum" NA NA NA NA NA NA NA NA NA NA
"153" "NZ_SAUO01000001_1_5449529_5453654_Methylobacterium_radiotolerans_strain_ES_PA_B5_Ga0193687_11_wh" "ref" "A9" "RHIZHOSPHERE" "Methylobacterium" "radiotolerans" NA NA NA NA NA NA NA NA NA NA
"154" "NZ_NKQS01000076_1_17990_22115_Methylobacterium_radiotolerans_strain_MAMP_4754_MP_M_radiotolerans" "ref" "A9" "ENDOPHYTE" "Methylobacterium" "radiotolerans" NA NA NA NA NA NA NA NA NA NA
"155" "NC_010505_1_4087386_4091511_Methylobacterium_radiotolerans_JCM_2831_complete_sequence" "ref" "A9" "SEED" "Methylobacterium" "radiotolerans" NA NA NA NA NA NA NA NA NA NA
"156" "NZ_CP017640_1_4383675_4387800_Methylobacterium_sp__C1_chromosome_complete_genome" "ref" "A9" "ANTHROPO/WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"157" "NZ_LACA01000030_1_68899_73024_Methylobacterium_radiotolerans_strain_RE1_2_contig_30_whole_genome" "ref" "A9" "SEED" "Methylobacterium" "radiotolerans" NA NA NA NA NA NA NA NA NA NA
"158" "NZ_BJXP01000063_1_6383_10508_Methylobacterium_radiotolerans_strain_NBRC_15690_sequence063_whole" "ref" "A9" "SEED" "Methylobacterium" "radiotolerans" NA NA NA NA NA NA NA NA NA NA
"159" "J_164" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-08" "ACRU" "Iso-2019-2" "SBL-03-08-C" "20" "333" "333" "16-07-18"
"160" "NZ_VUOK01000014_1_67408_71533_Methylobacterium_sp__2A_scaffold25_whole_genome_shotgun_sequence" "ref" "A9" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"161" "NZ_NPKS01000020_1_108810_112935_Methylobacterium_sp__P1_11_NODE_20_length_119776_cov_38_2293_who" "ref" "A9" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"162" "NZ_FMWU01000028_1_7935_12060_Methylobacterium_sp__UNC378MF_whole_genome_shotgun_sequence" "ref" "A9" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"163" "NZ_FNHS01000021_1_69030_73155_Methylobacterium_phyllostachyos_strain_BL47_whole_genome_shotgun_s" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "phyllostachyos" NA NA NA NA NA NA NA NA NA NA
"164" "E_005" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-F" "30" "386" "393" "07-09-18"
"165" "J_104" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-05" "FAGR" "Iso-2019-2" "MSH-01-05-A" "30" "314" "311" "27-06-18"
"166" "J_105" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-05" "FAGR" "Iso-2019-2" "MSH-01-05-A" "30" "314" "311" "27-06-18"
"167" "J_158" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-10" "ABBA" "Iso-2019-2" "SBL-01-10-C" "20" "333" "333" "16-07-18"
"168" "E_119" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-03" "ACSA" "Iso-2019-2" "MSH-03-03-B" "30" "314" "311" "27-06-18"
"169" "E_114" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-07" "ACPE" "Iso-2019-2" "SBL-01-07-D" "30" "333" "333" "16-07-18"
"170" "J_003" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-A" "30" "314" "311" "27-06-18"
"171" "J_106" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-04" "OSVI" "Iso-2019-2" "MSH-04-04-A" "30" "314" "311" "27-06-18"
"172" "J_132" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-02" "ACSA" "Iso-2019-2" "MSH-04-02-B" "20" "314" "311" "27-06-18"
"173" "E_009" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-B" "30" "314" "311" "27-06-18"
"174" "J_064" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-D" "20" "333" "333" "16-07-18"
"175" "J_082" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-B" "30" "314" "311" "27-06-18"
"176" "J_127" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-03" "FAGR" "Iso-2019-2" "SBL-02-03-C" "30" "333" "333" "16-07-18"
"177" "E_127" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-03" "ABBA" "Iso-2019-2" "SBL-03-03-D" "30" "333" "333" "16-07-18"
"178" "E_109" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-03" "ACSA" "Iso-2019-2" "MSH-04-03-B" "30" "314" "311" "27-06-18"
"179" "J_057" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-D" "30" "354" "361" "06-08-18"
"180" "E_065" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-F" "30" "364" "361" "16-08-18"
"181" "J_045" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-F" "30" "364" "361" "16-08-18"
"182" "J_088" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-G" "20" "399" "393" "20-09-18"
"183" "J_049" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-C" "30" "333" "333" "16-07-18"
"184" "J_122" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-10" "ACPE" "Iso-2019-2" "SBL-03-10-C" "30" "333" "333" "16-07-18"
"185" "E_126" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-03" "ABBA" "Iso-2019-2" "SBL-03-03-D" "30" "333" "333" "16-07-18"
"186" "J_093" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-H" "30" "399" "393" "20-09-18"
"187" "E_046" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-B" "20" "314" "311" "27-06-18"
"188" "E_116" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-D" "30" "333" "333" "16-07-18"
"189" "E_006" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-B" "30" "307" "311" "20-06-18"
"190" "J_030" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-E" "20" "364" "361" "16-08-18"
"191" "J_083" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-B" "30" "314" "311" "27-06-18"
"192" "DNA020" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-8" "FAGR" "Iso-2018" "MSH-L0-8-C" "20" "365" "361" "17-08-17"
"193" "E_042" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-B" "20" "314" "311" "27-06-18"
"194" "J_076" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-H" "30" "427" "427" "18-10-18"
"195" "DNA021" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-1" "ACSA" "Iso-2018" "MSH-H0-1-C" "30" "365" "361" "17-08-17"
"196" "E_061" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-E" "30" "386" "393" "07-09-18"
"197" "J_067" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-06" "MSH-06-06" "FAGR" "Iso-2019-1" "MSH-06-06-D" "30" "354" "361" "06-08-18"
"198" "J_054" "strain" "A10" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-06" "MSH-06-06" "FAGR" "Iso-2019-1" "MSH-06-06-H" "30" "427" "427" "18-10-18"
"199" "E_030" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-D" "30" "333" "333" "16-07-18"
"200" "J_015" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-G" "20" "427" "427" "18-10-18"
"201" "E_103" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-07" "QURU" "Iso-2019-2" "MSH-04-07-B" "30" "314" "311" "27-06-18"
"202" "J_150" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-06" "ABBA" "Iso-2019-2" "SBL-02-06-C" "20" "333" "333" "16-07-18"
"203" "J_065" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-H" "20" "399" "393" "20-09-18"
"204" "J_163" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-04" "ACSA" "Iso-2019-2" "MSH-01-04-B" "20" "314" "311" "27-06-18"
"205" "J_062" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-F" "20" "386" "393" "07-09-18"
"206" "J_022" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-E" "30" "364" "361" "16-08-18"
"207" "E_039" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-C" "20" "333" "333" "16-07-18"
"208" "J_059" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-D" "20" "333" "333" "16-07-18"
"209" "J_136" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-04" "OSVI" "Iso-2019-2" "MSH-04-04-A" "20" "314" "311" "27-06-18"
"210" "E_063" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-C" "20" "333" "333" "16-07-18"
"211" "J_073" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-C" "30" "333" "333" "16-07-18"
"212" "J_005" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-E" "20" "364" "361" "16-08-18"
"213" "E_106" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-02" "ACSA" "Iso-2019-2" "MSH-04-02-B" "30" "314" "311" "27-06-18"
"214" "J_160" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-05" "FAGR" "Iso-2019-2" "MSH-01-05-B" "20" "314" "311" "27-06-18"
"215" "J_029" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-E" "20" "364" "361" "16-08-18"
"216" "LYS037" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-10" "OSVI" "Iso-2018" "MSH-H0-10-B" "20" "365" "361" "17-08-17"
"217" "E_040" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-C" "20" "333" "333" "16-07-18"
"218" "J_134" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-02" "ACSA" "Iso-2019-2" "MSH-04-02-B" "20" "314" "311" "27-06-18"
"219" "J_117" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-07" "QURU" "Iso-2019-2" "MSH-04-07-A" "30" "314" "311" "27-06-18"
"220" "J_137" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-03" "ACSA" "Iso-2019-2" "MSH-04-03-A" "20" "314" "311" "27-06-18"
"221" "E_120" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-04" "ACSA" "Iso-2019-2" "MSH-01-04-B" "30" "314" "311" "27-06-18"
"222" "J_152" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-04" "OSVI" "Iso-2019-2" "MSH-04-04-B" "20" "314" "311" "27-06-18"
"223" "E_020" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-A" "20" "314" "311" "27-06-18"
"224" "J_092" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-C" "20" "333" "333" "16-07-18"
"225" "J_156" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-02" "ACSA" "Iso-2019-2" "MSH-03-02-B" "20" "314" "311" "27-06-18"
"226" "E_105" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-02" "ACSA" "Iso-2019-2" "MSH-04-02-B" "30" "314" "311" "27-06-18"
"227" "E_016" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-A" "20" "314" "311" "27-06-18"
"228" "J_031" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-G" "30" "399" "393" "20-09-18"
"229" "J_089" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-B" "20" "307" "311" "20-06-18"
"230" "DNA007" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-8" "FAGR" "Iso-2018" "MSH-L0-8-C" "20" "365" "361" "17-08-17"
"231" "J_146" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-02" "ACSA" "Iso-2019-2" "MSH-03-02-A" "20" "314" "311" "27-06-18"
"232" "E_025" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-C" "30" "354" "361" "06-08-18"
"233" "J_125" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-04" "ACSA" "Iso-2019-2" "MSH-01-04-A" "30" "314" "311" "27-06-18"
"234" "J_130" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-C" "30" "333" "333" "16-07-18"
"235" "J_139" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-01" "OSVI" "Iso-2019-2" "MSH-04-01-A" "20" "314" "311" "27-06-18"
"236" "NZ_VRUY01000056_1_10397_14553_Methylobacterium_sp__WL93_NODE_56_length_23176_cov_19_9364_WL93_sp" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"237" "NZ_VRUV01000118_1_486_4642_Methylobacterium_sp__WL116_NODE_118_length_10542_cov_20_008_WL116_spa" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"238" "NZ_VRUU01000015_1_8624_12780_Methylobacterium_sp__WL119_NODE_15_length_71042_cov_14_6999_WL119_s" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"239" "NZ_VRVB01000012_1_8624_12780_Methylobacterium_sp__WL30_NODE_12_length_71042_cov_5_61128_WL30_spa" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"240" "J_131" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-C" "20" "333" "333" "16-07-18"
"241" "J_050" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-D" "20" "354" "361" "06-08-18"
"242" "NZ_VRVH01000046_1_12290_16446_Methylobacterium_sp__WL6_NODE_46_length_25068_cov_16_5709_WL6_spad" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"243" "E_112" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-02" "FAGR" "Iso-2019-2" "MSH-01-02-B" "30" "314" "311" "27-06-18"
"244" "E_041" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-C" "20" "333" "333" "16-07-18"
"245" "J_142" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-10" "ACPE" "Iso-2019-2" "SBL-03-10-D" "20" "333" "333" "16-07-18"
"246" "E_037" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-C" "20" "333" "333" "16-07-18"
"247" "DNA013" "strain" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-10" "OSVI" "Iso-2018" "MSH-H0-10-B" "20" "365" "361" "17-08-17"
"248" "NZ_VRVF01000033_1_7781_11937_Methylobacterium_sp__WL8_NODE_33_length_53524_cov_20_7163_WL8_spade" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"249" "NZ_VRUT01000086_1_6130_10286_Methylobacterium_sp__WL120_NODE_86_length_22264_cov_14_4223_WL120_s" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"250" "NZ_VRUX01000067_1_8729_12885_Methylobacterium_sp__WL103_NODE_67_length_13350_cov_17_2265_WL103_s" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"251" "NZ_VRUW01000022_1_6141_10297_Methylobacterium_sp__WL12_NODE_22_length_64597_cov_10_405_WL12_spad" "ref" "A6" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"252" "J_162" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-05" "FAGR" "Iso-2019-2" "MSH-01-05-B" "20" "314" "311" "27-06-18"
"253" "NZ_FOPM01000039_1_8057_12219_Methylobacterium_gossipiicola_strain_Gh_105_whole_genome_shotgun_se" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "gossipiicola" NA NA NA NA NA NA NA NA NA NA
"254" "NZ_LMMW01000022_1_8006_12164_Methylobacterium_sp__Leaf100_contig_29_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"255" "NZ_LMRE01000020_1_8008_12166_Methylobacterium_sp__Leaf469_contig_27_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
